pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,8,2,34,2,,,,,91.15599709993694,,91.14485669997521,91.15599709993694,92.15600720001385,92.15600720001385,92.15600720001385,92.15600720001385,92.15600720001385,93.15639879996888,93.15639879996888,93.56057620001957,c,1,0.393185899942182,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,8,3,35,3,,,,,93.5730435999576,,93.56150970002636,93.5730435999576,94.57306139997672,94.57306139997672,94.57306139997672,94.57306139997672,94.57306139997672,95.57292279996909,95.57292279996909,96.91052759997547,z,1,1.3333972000982612,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,9,0,36,0,,,,,96.92286639998201,,96.911675499985,96.92286639998201,97.9228816999821,97.9228816999821,97.9228816999821,97.9228816999821,97.9228816999821,98.92272819997743,98.92272819997743,99.5459952999372,x,1,0.6086134000215679,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,9,1,37,1,,,,,99.5565903999377,,99.54797970002983,99.5565903999377,100.55597009998746,100.55597009998746,100.55597009998746,100.55597009998746,100.55597009998746,101.55616909998935,101.55616909998935,102.1778441000497,v,1,0.6075634000590071,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,9,2,38,2,,,,,102.1902292999439,,102.1788966000313,102.1902292999439,103.18981939996593,103.18981939996593,103.18981939996593,103.18981939996593,103.18981939996593,104.18956199998502,104.18956199998502,104.52828169998247,c,1,0.3358140999916941,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,9,3,39,3,,,,,104.53977489995304,,104.52943310001865,104.53977489995304,105.54045380000025,105.54045380000025,105.54045380000025,105.54045380000025,105.54045380000025,106.53995390003547,106.53995390003547,107.07850830000825,z,1,0.5262257000431418,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,10,0,40,0,,,,,107.09013020002749,,107.08043910004199,107.09013020002749,108.08982049999759,108.08982049999759,108.08982049999759,108.08982049999759,108.08982049999759,109.09003930003382,109.09003930003382,109.71116690000053,x,1,0.6038203000789508,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,10,1,41,1,,,,,109.72366469993722,,109.71230350004043,109.72366469993722,110.72342499997467,110.72342499997467,110.72342499997467,110.72342499997467,110.72342499997467,111.7232401999645,111.7232401999645,112.31191459996626,v,1,0.5873865999747068,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,10,2,42,2,,,,,112.32324249995872,,112.31313719996251,112.32324249995872,113.32346270000562,113.32346270000562,113.32346270000562,113.32346270000562,113.32346270000562,114.32330859999638,114.32330859999638,115.11200930003542,c,1,0.7838121000677347,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,10,3,43,3,,,,,115.12316239997745,,115.11367109999992,115.12316239997745,116.12403089995496,116.12403089995496,116.12403089995496,116.12403089995496,116.12403089995496,117.12329280003905,117.12329280003905,117.76057789998595,z,1,0.624022200005129,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,11,0,44,0,,,,,117.77338689996395,,117.76165260002017,117.77338689996395,118.77324470004532,118.77324470004532,118.77324470004532,118.77324470004532,118.77324470004532,119.77341270004399,119.77341270004399,120.21131919999607,x,1,0.4316182999173179,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
